TriNum is 20910 		divby: 32
TriNum is 21115 		divby: 8
TriNum is 21321 		divby: 12
TriNum is 21528 		divby: 48
TriNum is 21736 		divby: 32
TriNum is 21945 		divby: 32
TriNum is 22155 		divby: 16
TriNum is 22366 		divby: 8
TriNum is 22578 		divby: 16
TriNum is 22791 		divby: 8
TriNum is 23005 		divby: 8
TriNum is 23220 		divby: 48
TriNum is 23436 		divby: 48
TriNum is 23653 		divby: 8
TriNum is 23871 		divby: 8
TriNum is 24090 		divby: 32
TriNum is 24310 		divby: 32
TriNum is 24531 		divby: 16
TriNum is 24753 		divby: 8
TriNum is 24976 		divby: 20
TriNum is 25200 		divby: 90
TriNum is 25425 		divby: 18
TriNum is 25651 		divby: 4
TriNum is 25878 		divby: 16
TriNum is 26106 		divby: 16
TriNum is 26335 		divby: 8
TriNum is 26565 		divby: 32
TriNum is 26796 		divby: 48
TriNum is 27028 		divby: 12
TriNum is 27261 		divby: 12
TriNum is 27495 		divby: 24
TriNum is 27730 		divby: 16
TriNum is 27966 		divby: 16
TriNum is 28203 		divby: 16
TriNum is 28441 		divby: 8
TriNum is 28680 		divby: 32
TriNum is 28920 		divby: 32
TriNum is 29161 		divby: 6
TriNum is 29403 		divby: 18
TriNum is 29646 		divby: 24
TriNum is 29890 		divby: 24
TriNum is 30135 		divby: 24
TriNum is 30381 		divby: 16
TriNum is 30628 		divby: 24
TriNum is 30876 		divby: 24
TriNum is 31125 		divby: 16
TriNum is 31375 		divby: 8
TriNum is 31626 		divby: 24
TriNum is 31878 		divby: 48
TriNum is 32131 		divby: 8
TriNum is 32385 		divby: 16
TriNum is 32640 		divby: 64
TriNum is 32896 		divby: 16
TriNum is 33153 		divby: 8
TriNum is 33411 		divby: 16
TriNum is 33670 		divby: 32
TriNum is 33930 		divby: 48
TriNum is 34191 		divby: 12
TriNum is 34453 		divby: 4
TriNum is 34716 		divby: 24
TriNum is 34980 		divby: 48
TriNum is 35245 		divby: 16
TriNum is 35511 		divby: 16
TriNum is 35778 		divby: 16
TriNum is 36046 		divby: 8
TriNum is 36315 		divby: 16
TriNum is 36585 		divby: 16
TriNum is 36856 		divby: 16
TriNum is 37128 		divby: 64
TriNum is 37401 		divby: 16
TriNum is 37675 		divby: 12
TriNum is 37950 		divby: 48
TriNum is 38226 		divby: 16
TriNum is 38503 		divby: 4
TriNum is 38781 		divby: 12
TriNum is 39060 		divby: 72
TriNum is 39340 		divby: 24
TriNum is 39621 		divby: 8
TriNum is 39903 		divby: 8
TriNum is 40186 		divby: 8
TriNum is 40470 		divby: 32
TriNum is 40755 		divby: 32
TriNum is 41041 		divby: 16
TriNum is 41328 		divby: 60
TriNum is 41616 		divby: 45
TriNum is 41905 		divby: 12
TriNum is 42195 		divby: 16
TriNum is 42486 		divby: 16
TriNum is 42778 		divby: 8
TriNum is 43071 		divby: 12
TriNum is 43365 		divby: 24
TriNum is 43660 		divby: 24
TriNum is 43956 		divby: 48
TriNum is 44253 		divby: 16
TriNum is 44551 		divby: 8
TriNum is 44850 		divby: 48
TriNum is 45150 		divby: 48
TriNum is 45451 		divby: 8
TriNum is 45753 		divby: 8
TriNum is 46056 		divby: 32
TriNum is 46360 		divby: 32
TriNum is 46665 		divby: 24
TriNum is 46971 		divby: 12
TriNum is 47278 		divby: 16
TriNum is 47586 		divby: 32
TriNum is 47895 		divby: 16
TriNum is 48205 		divby: 8
TriNum is 48516 		divby: 24
TriNum is 48828 		divby: 24
TriNum is 49141 		divby: 4
TriNum is 49455 		divby: 24
TriNum is 49770 		divby: 48
TriNum is 50086 		divby: 8
TriNum is 50403 		divby: 8
TriNum is 50721 		divby: 16
TriNum is 51040 		divby: 48
TriNum is 51360 		divby: 48
TriNum is 51681 		divby: 16
TriNum is 52003 		divby: 16
TriNum is 52326 		divby: 40
TriNum is 52650 		divby: 60
TriNum is 52975 		divby: 12
TriNum is 53301 		divby: 8
TriNum is 53628 		divby: 24
TriNum is 53956 		divby: 24
TriNum is 54285 		divby: 32
TriNum is 54615 		divby: 16
TriNum is 54946 		divby: 8
TriNum is 55278 		divby: 24
TriNum is 55611 		divby: 12
TriNum is 55945 		divby: 8
TriNum is 56280 		divby: 64
TriNum is 56616 		divby: 32
TriNum is 56953 		divby: 6
TriNum is 57291 		divby: 12
TriNum is 57630 		divby: 32
TriNum is 57970 		divby: 32
TriNum is 58311 		divby: 24
